🙂,🙂,맛있어요 
감동적이었던 볶음김치/메추리알장조림/명태회/닭고기장조림/오징어젓갈/맛씨앗젓갈/진미채 7찬♥어찌나 정갈하고 깔끔하게 플레이팅 되어 있던지 먹기 전부터 기분이 좋았습니다😀생각했던 것보다도 훨씬 대게살이 많아 갑각류 특유의 감칠맛이 깊었는데다 죽의 양 자체도 푸짐해 속이 무척 든든했고 가성비 훌륭하다는 생각이 들 정도였다는❣️,간이 적당하고 전복 많이 들어있어요!7찬이랑 같이 먹을 수 있어서 좋아요~,좋아요
포장해갔는데 너무맛있게 잘먹었습니다.사장님이 친절하시고 닭강정도 방금튀긴거라 너무맛있었어요.,여기 사장님진짜친절하시고 서비스도 잘챙겨주시고 무엇보다 찐맛집이에요!! 진짜여기는 양도 많이챙겨주셔요!!무조건 먹어보세용!!,언제와도 친절하고 반찬도 깔끔하니 맛있어요~고기판도 적당한 타이밍에 얘기하지 않아도 알아서 갈아주셔서 너무 좋아요! 찌개가 찐맛집이네요!!!!
뼈찜 3인분 샀어요.양이 넉넉하고당면사리 떡 골라먹는 재미도 있어요.순한맛으로 주문했는데매콤해서 매운것 잘 못드시는분들도 맛있게 먹을 수 있어요.김치는 깍두기 겉절이 주셨는데 깍두기가 넘 맛나요.매장에서 먹어본 적이 있는데 넘 맛나서포장했는데 포장도 꼼꼼하게 해주셨어요♡♡,기운이 떨어지고  지칠 때 든든하게 맛있는 밥이 먹고 싶을때 항상 들르는 식당이에요!먹고 나면 맛있어서 기분이 좋아지고 집밥 먹은것 처럼 든든합니다.  순대국 김치찌개 순두부찌개 뚝배기 불고기 등 여러 메뉴를 먹어봤는데 다 맛있어서 항상 뭘 먹을지 고민하게 됩니다. ^^사장님도 친절하시고 식당도 깨끗해서 좋고 주차도 편합니다!,자주 가는 두끼~~  너무 맛있다
사장님 매번 감사드립니다,하남 시청 근처 칼국수 점심으로 먹기 좋은 식당입니다 칼국수랑 비빔국수 황태 해장국등 팔고 있어요 ㅎㅎ세트로 시키면 보쌈과 밥까지 나옵니다 혼밥하기도 좋네용ㅎ,맥주가 시원하네요~~^^
가성비 맛집이네요 ,짜장면은 맛있는데짬뽕.탕슉은 소소~~,미사냉면 맛집 갑산면옥에서 오랜만에 냉면 뽀시기를 하고 왔어요!특히 세끼미라는 회냉면은 정말 맛있었는데 세끼미라는 단어가 섞이다의 북한 사투라고 하더라구요!물냉면 비빔냉면도 맛있고 육수가 끝내줘서 물냉면은 해장냉면이라는 별칭까지!!냉면 육수 다데기 어느하나 헛투루 된거 없이 정성을 담아 오리지널로 만드는 집. 냉면이랑 육전 같이 먹으니 너무 맛있더라구요!냉면에 진심리 느껴지는 맛집이었습니다!재방문 의사 100% !!
,가격은 바싸지만 맛은 있어요.,맛있게 잘먹었습니다 
우연히 지나가다 들어갔는데상어 🦈 게 🦀 거북이🐢 도마뱀🦎 물고기🐟 등 넘 신기하고 예쁜 물고기 가득~컨셉카페인듯해서커피맛은 기대안했다가 완전 대만족 😍사장님 넘 친절하시구화장실도 넘 깨끗해요~^^아 도마뱀도 분양하는 신기한 곳ㅋㅋ,이색 카페 찾다가 리뷰 좋아서 와봤는데🍀구경할 것도 많고 음료도 맛있고 젤라또도 맛있어요분재도  예쁘더라구요!🌱🌱물소리가 asmr 재질이라 맘이 편해지는 공간이어서너무 좋았어요😆다음에는 조카들 도 데리고 오면 좋을거 같아요,커피랑 디저트 괜찮아요
중앙보훈병원역 에서 서하남가는길에파스타 피자 맛집 드까르멜릿 에서 Sweet  Lunch29500원코스요리를먹고왔어요소규모돌잔치모임스몰웨딩 각종모임하기에도특별한 날에도 언제나 좋은 곳이기도 해요. 맛있는 식전빵과 선택한 새우와게살의 로제파스타는자극적이지않고 재료의 본맛을 음미하며 먹을 수있게담백하고 풍요로워요 화덕으로구운 마르게리따 화덕피자는 더욱이 담백하면서도 치즈가 적당해서느끼하지 않게  정말 깔끔한 맛으로 맛있게 먹었어요.좋은분들에게 럭셔리한 분위기와 호텔같은 정갈한 음식으로 대접해 보세요 원두가 좋아서 커피맛도 진하고산미가 풍부해요. 티타임으로도 너무 좋은곳이에요.,분위기는 좋아서 종종가요. 근데 맛은 쏘쏘라고 하더라도 직원들 서비스가 정말 너무 안좋아요. 특히 서빙해주시는 남자직원분은 무례해서 기분이 매우 안좋았습니다. 앞으로도 분위기가 좋아서 종종 갈것 같은데 맛이랑 서비스부분에서 개선이 된다면 평점이 높아질텐데 하는 아쉬움이 남습니다.,오늘도 아메리칸스피리트와 코울슬로조합이네요. 피자가 짭짤한편이지만 도우도 쫄깃하고 토핑도 가득해서 피자는 요즘엔 잭슨만 먹습니다. 맛있어요~^^
좋아여,좋아여,고기맛이 좋아요 반찬 구성도 알차구 셀프바이용해서 다양하게 먹을 수 있어 잘 먹구 갑니다매장도 넓고 주차장 바로 연결되서 편해여
추억의 연필심쫀드기와 크림치즈크래커 맥주 다~~ 너무 맛있었어요@@  사장님도 친절하시고 너무 잘해주셔서 편안하게 아이들과 좋은시간 보냈어요!!  다음에 또 방문할게용~,아담하고 분위기 좋은 맥주집안주 맛있고주인 내외분 너무 친절하심또 갈집,맛있어요 좋아요
맥주 종류가 많아서 좋아요,날씨가 좋아서 야외에서 먹고싶었는데 야외 테이블도 있어서 너무 좋았어요🥰예전에 왔을 때 에그인헬이 맛있었던 기억이 있어서 재방문했는데 이번엔 빵도 더 추가해서 먹었어요><진짜 딱 적당히 매콤하고 재료들도 가득가득 차있어서 빵이랑 같이먹기 정말 좋아요!!!👍👍매장도 깔끔하고 저는 술을 잘 못먹는데 하이볼 종류도 다양하고 연하게 조절도 해주셔서 술 좋아하는 친구들이랑도 무리없이 함께할 수 있는 곳이라 술찌분들께 적극 추천합니당><애견동반도 가능해서 다음엔 댕댕이 가족과 함께 바람쐐러 올 예정입니다🫶🫶맥주 하이볼 종류도 다양하고 메뉴들도 다 맛있고 무엇보다 사장님들께서 정말 친절하시고 센스가 넘치세요!! 재방문의사 100000...00000%입니다! 적극추천해욤👍👍,좋아하는 브랜드 히츠지야. 가성비가 좋아서 자주 오는 곳이에요 :) 오늘도 잘 먹고가겠습니다!
처음 가본 곳인데 맛과 가격과 깔끔함 모두 너무 마음에 들었습니다. 이 가격대에서 먹을 수 있는 가장 맛있는 파스타를 경험할 수 있습니다.  집과 가까웠다면 매일 가고 싶은 곳입니다. 양도 많이 주셔서 좋네요 👍,간간히 외서 먹을만합니다. 크림소스 굿,아이들이 너무 좋아해요물론 저두 좋아하구요클래식 함박이 전 젤 맛있는것같아요소세지도 함박스테이크도 소스도 모두 맛있어요♡
자주 먹어도 질리지 않는 메뉴들이 소소하게 있습니다. 가성비가 좋지요.,요즘 안비싼게 없죠야채김밥 3800원이에요부추가 들어있어서 좋아요~포장해서 갈때 단무지 김치 셀프포장 이에요^^,맛있어요 우니와 단새우가 입에서 녹네요
푸라닭 맛나네요~~직접 방문해서 먹으니 더 맛나네요,좋아요감자튀김도 맛있었어요~,역시 여기는 일주일에 몇번씩 방문하네요 너무 맛있습니다 든든하니 좋아요 간장드셔보세요 최고최고🔥
와 하남미사 살면서 여기 안 가보면 진짜 중범죄!! 이런 찐맛집을 두고 다른 냉삼집에 가는 건 완전 실수하시는 거에요 😭😭냉삼 유명하다는 잠수교집도 가보고 일주일에 한번은 냉삼 꼭 먹을 정도로 이곳저곳 많이 돌아다녀봤는데 신사냉삼촌이 넘사 냉삼집이었네요🥲😋이제 드디어 정착할 수 있겠어요 ㅋㅋㅋ세트메뉴 구성도 넘 합리적인 가격에 알찬 구성이고 맛은 잡내 하나없이 풍미와 식감 모든 면에서 최고였어요! 계란찜이 기본 제공이어서 좋았고 사이드로 주문한 청국장은 냄새 제대로 맛도 제대로였어요(콩 완전 가득가득!)😍세트로 주문하면 분홍소시지와 관자도 같이 주시는데 색다른 조합에 최고의 맛이었네요 ㅋㅋ후식으로 먹는 콘 아이스크림은 초코/쿠앤크 두가지맛인데 존맛...사장님께서도 너무 친절하셔서 또가고싶은 맛집이었어요🥰,가성비 최고인데 육질까지 좋은 냉삼집이었다직원분들도 친절해서 기분 좋게 식사할 수 있었던^^^문이 다 뚫려있고 테이블 간 간격 넓어서 편하고 쾌적한 식사 가능했다 옷에 냄새도 별로 안베임!,굿
새로 살구 있게요 없게요~달걀말이도 꼭 먹어요!#새로살구,넘 맛있게 먹어서 사진을 못찍었네용 노가리맛집답게먹태가 바삭바삭하고 맛있어용 어쩜 이런 싱싱하고 잘 구워진 먹태는 첨 먹어봐용 ㅜㅠ감동노가리❤️,평일 런치 가성비 있게 맛있게 먹었어요.1인 1메뉴 주문시 샐러드 식전빵 음료 커피 무제한이에요.
늘 지나다니다가 가게가 깨끗하고 굴림만두가 궁금했었는데 이번에 맛봤어요! 와 정말 너무 쫄깃 탱글 김치소는 간 딱 맞고 정말 맛있었어요!! 또 갈께요!,사장님 ㅎㅎ 김치왕만두 포장했는데 고기만두 세를 넣아주셨네요... ㅠ 다시갈까하다가 집에와서 당황했네요......이건 아닌것 같아요 ㅠㅠ...,굿
,맛있어요,큰아이 합기도 동상 입상 기념해서 먹었어요 옛날 생각하고 샐러드바 있나 검색후 전화해서 식사 가능하냐고 하니 안된대요ㅎㅎ언제 가고 안간건지ㅜㅜ 피자는 맛있었어요!
당일 수급 채소라 그런지확실히 신선함이 다르네요연어샌드위치랑 리코타치즈샐러드주문했는데연어샐러드에 연어 정말 많이 넣어주셔서 연어 흘리면서 먹었어요 ㅎㅎ채소도 엄청 빵빵하게 넣어서입찢어질뻔 ㅋㅋㅋ반개만 먹어도 배불러요 리코타치즈샐러드도싱싱한 채소랑 부드럽고 진한 리코타치즈가 듬뿍~양도 풍부해서먹는 내내 행복했네요근처 미사리조정경기장 있어서포장해서 먹었습니다양도 많고 신선해서재방문 의사 있어요,미사 샌드위치 맛집 킹왕짱인정이에요🫶🏻토스티한 빵부터 시작해서 아삭아삭한 야채 실하게 들어가있구요. 연어랑 클럽샌드위치로 시켰는데 둘 다 취향저격!! 앞으로 자주 포장해먹으려구요🤍,피자는 늘 이곳에서 먹어요. 오늘은 남편이랑 데이트 삼아 슬슬 걸어오면서 픽업해갔네요. 토핑이 꽉차 맛있고 가성비 좋은 피자에요ㅎㅎ 핫스파이시갈비는 처음 시켜보는 메뉴인데 기대됩니다^^
아이들이.치즈돈가스 좋아해요.갓 튀겨져 나와 밥반찬으로 하기 좋고남으면 담날 에프로 다시 데워 잘 먹고 있어요.바삭하고 안에는 치즈가 잘 녹아있어요.바삭해서 느끼하지도 않는 것 같아요.,늘 방문하는 곳이예요! 오늘도 들렀어요 😀,...
희희 밖에서 간단하게 잘 먹고갑니다용😀,새벽한시까지 하니 밤늦게 지나가다 사가기좋아요,혼밥하기 편하고 맛도 좋아요~!
굿,국물이 맛있고 몸보신하기 좋아요,해장국먹으러 갔는데 김치찜인줄~그래도 먹을만 했어요~뼈해장국은 푸짐햐고 맛이 괜찮았답니다
가족들이랑 설명절에 갔는데😆 너무 맛있고 아이랑 같이갔는데 고기가 너무 부드러워서 아이도 맛있다고 잘먹었어요 그리고 진짜 제 최애는 불스진데..👉👈🩷 언제먹어도 너무너무 맛있어요  ,지인의 스지수육 칭찬 가득하여 기대품고 스지수육 주문!일반수육대비 뭔가 국물이 자작하여 특이하더라구용탕 같은 느낌!?? 나중에 어묵6꼬치와 스지 일부 추가하였는데 소주안주로 진심 만족😀😃😄,넘나 맛있어요번창하십셔
,굿,배달 주문으로 편하게 맛있게 잘 먹었습니다.
사장님도 친절하시구무엇보다 너무 맛있습니당자주 올것같아요!또 올게요~~👍🏻👍🏻,맛있어요,맛있게 잘 먹었습니당!닭발부분이 뼈가 발라져 있어서 너무 좋았어요!ㅎ
미사냉삼 1등 맛집!미사 호수공원뷰보면서 먹는 냉삼이라늬🥺사장님도 너무 친절하시고무엇보다 야채가 너무 신선해서 여쭤보니직접 밭에서 기르신거라구👍🏻👍🏻,가격도 너무 저렴하고 고기가 너무 맛있어요!사장님과 직원이 너무 친절하셔서 기분좋게 먹었습니다.  다음에 꼭 다시 방문할께요~,스타필드 일층에 위치한 훠궈 맛집이에요. 가격은 좀 있는 편이지만 세트로 이용시 양이 많고 맛도 맛있습니다❤️ 버섯탕이 진짜 맛있고 기본 홍탕도 맛있어요. 너무 맵지도 않고 소스 바도 있으며 세트로 즐겼을 때 음료 꿔바로우에 볶음밥까지 나옵니다. 가성비 최고 좋아요!!👍🏼
맛나요,음식 정말 맛있습니다 식당 풍광도 좋고,엥 술집인줄 알고 갔는데 밥집인줄! 너무 맛있어요❤️ 이것저것 시켜서 다 먹고 왔네요 ❤️❤️
굿,굿,포장하러 가끔 이용합니다. 굳!
팔각불판에 구워먹는 닭갈비의 참맛!와우 너무 맛있었구요~비빔칼국수랑 조합도 괜찮더라규요~~안창살은 불판 바꿔서 구워먹었는데닭특부부위라 식감도 좋도양념도 아주 맛있었습니다 ^^,부드러운 육질의 팔각도! 친절하고 맛있어요🤍,너무너무 맛있어요~~
세트 정말 강추입니다. 잡내가 젤 중요한데... 일절 하나도 없구요... 친절은 기본^^  매운걸 잘 못먹는 사람으로서 ㅋㅋ 적당히 맵구요... 안맵게 하기위한 다양한 쌈+소스등도 구비되어있어... 누구나 맛.즐길 수.있을거같아여... 사장님이 신경 많이 쓰신 티가 팍팍납니다. 그리고 세가지 맛을 다 느낄수있어서 넘 좋았구요.. 특히 대파가 왕창 들어있어... 좀더 중화된다는 느낌..대파가 피부에 젤 좋은거 아시죠??^^;; 더 중요한 주차가 너무좋아요..아파트인데..상가전용주차장이 구비되어있어(실내) 안락하고 편하게 주차했어요. 이런 가게는 꼭 오래 지속되어야해여. 지극히 주관적인 의견였습니다.~~~~~~~~~안주 퀄리티에 오늘은 이렇게 마시게되었네요... 앞으로 나올 신메뉴를 기대하며 .......^^,너무너무 맛있어요! 저는 셋트 먹었는데 고기가 너무 맵지도 않고 딱 정당히 매우면서 양념에 찍어 깻잎에 싸서 먹으면 끝장납니다 ㅎㅎ .깻잎도 엄청많이 주세요 ㅎㅎ  사장님이 맵기 조절도 가능하다고 하셔서 저처럼 맵찔이부터 맵부심있는 사람까지도 다 맛있게 먹을 수 있을 것 같아요. 그리고 제가 곱창류는 냄새나서 원래 전혀 안먹는데 여기꺼는 냄새가 전혀 안나서 너무 신기했어요. 그래서 평소에 안먹어봤던 곱창만 골라서 먹었답니다 ㅎㅎ 애기들은 계란찜에 주먹밥이랑 황도랑 맛있게 먹었구요. 고기도 물에 행거서 양념찍어 잘 먹었습니다. ㅎㅎ 고기 질겨서 싫어하는 우리 아들이 너무 맛있다며 엄지척 날려줬어요. (아이는 혹시 매울까봐 사장님이 마요네즈 소스도 따로 주셨어요)마지막으로 라면은 꼭 무조건 드셔보세요!,원래도 알볼로 좋아하는데 이사한 기념으로 집근처라 포장했는데 사장님의 친절함이 아주 인상 깊었는데 집에서 피자를 보니 토핑도 무지 듬뿍이고 지금껏 먹은 알볼로중에서 여기 지점이 최고!!💕
여기가 왜 맛있다고 할까요?! 하긴 사람 입맛은 다틀리니.....저녁시간에  1시간을 달려왔는데 사람이 한명도 없어 찝찝하고 불안했는데 왜그런지 역쉬 이유가 있네요  .아이들맛집 이라해야할듯 양념치킨 순한 맛이랑 같아요반찬들 그나마 깔끔합니다  닭양이적다는말이 많은데  양은적어요 저희는 계란말이 도 먹어서 배가부른 상태에 맛만볼라고 볶음밥 주문했더니  3명은 밥두개 볶아야지 주문이 안된다고 하네요 그래도 멀리서왔으니 맛은 봐야 하기에주문해보고 많이 짜네요ㅜ 밥양이 1인분 양이라 그런가... 계산할때보니 볶음밥 한공기에 3000원 무조건두개니 6000원 지불하고  눈탱이 맞는기분이라 두번다시 안올것같네요 감자탕 닭갈비 집에서도 인원 제한없이 밥은1인분 볶아주는데..기분좋게 갔다가 그냥멍하게 갑니다,지인소개로 가본 철탑집~밑반찬 가지수도많구 깔끔하고 맛있어요~근데 메인이 워낙 맛있어서 밑반찬을 다 못먹겠어요ㅎㅎ닭도리탕 시켰는데 가격이 쫌...그래도 너무맛있었어요~사장님이 너무너무 친절하게 대해주셔서 남은것두 포장해주시고 감사히잘먹고왔어요~담엔 엄마모시고 다른거 먹으러 갈께용~♡♡♡,와하카 성수점때부터 좋아하던 본인 기준 멕시칸 가장 맛있는 집 !! 하남으로 이전 하셨어도 종종 찾아오는 맛집이에요😌 하드타코 소프트타코 다 정말 맛있어요!!! 소프트타코도 또띠아 겉을 식감 좋게 구워주셔서 정말 맛있었고 채소들이 신선하고 고수 추가도 양껏해주셔서 정말정말 맛있었습니다! 번창하세요 사장님🫶🏼
반찬구성이 아주 좋아요,할말하않,맛없는 걸 찾기가 힘들어요비냉에 냉육수 나오니깐 저는 비냉 추천 드려요비빔양념장이 맛있어요물냉도 물론 테이블에 있는 양념을 넣을 수 있어서매콤하게 먹을 수 있어요그리고 구워진 고기가 진짜 맛있네요잡채밥도 안짜고 담백하면서 마늘맛이 나면서 재료듬뿍이라 진짜 맛있었어요12-1시사이에는 주차장이 꽉잘 정도로 사람 많아요
배달 주문이 많이 들어오는 매장이지만 가게도 깨끗하고 사징님도 친절하셨어요 ㅎㅎ 키오스크에는 돈까스가 한줄인데 실제로는 두 줄이라서 당황했지만 ㅋㅋㅋ 맛있게 잘 먹었습니다😁,친구들과 영화보기 전 저녁 먹으려고 둘러보다 왔는데 생각보다 양도 많고 메뉴도 많아서,진짜 가성비짱이에요. 돈까스에진심인곳 종종옵니다~~
횡성에서 먹은 한우보다 더 맛있었어요~~밑반찬도 다 맛있고 된장술밥이랑 갓김치물냉면은 말해뭐해입니다ㅎㅎ재방문의사 만땅이에요🥰,한우 정말 맛있게 먹었네요저는 기름진 것 안좋아하는데 생갈비랑 안창살 진짜 딱 좋았어요. 생갈비 원래 좋아하고 여긴 특히 안창살이 정말 부드럽네요. 다음에도 한우 먹으러 또 들릴 것 같아요. 곁들임 반찬도 정갈하고 깔끔하고 소스가 특히 다양하고 맛있었어요. 번창하세요,미사에 맛집소개로 갓는데원래 신사동이 본점이엿네요.생골뱅이 처음먹어보지만 비린내도안나고식감이 예술이에요. 질리지도 않은 칼칼한 맛.집 근처라 자주 들릴거같아요.분위기도좋아요. 찐맛집
요즘 자주가는 곳 맛있어용❤️,1인 부대찌개 처음 와봤는데 토핑도 내맘데로 고를 수 있고 맛도 취향에 맞게 고르면 되니깐 너무 맘에드네요참고로 아무것도 추가 안해도 푸짐해요무엇보다 혼밥하기 너무 좋게 되어있어서 혼밥족에게도 딱일 것 같습니다!!,라면사리가 거의 2개 들어간 듯한 푸짐한 양!! 너무 잘 먹었습니다~ 3인이 배불리 먹을 수 있는 푸짐한 양입니다. 언제 먹어도 맛있는 숯불양념구이와 라면사리 앞으로도 오래오래 영업해주세요~!
집 근처 피자포장하려고 방문했어요. 사장님 친절해용인테리어도 잘해놓구 피자 가성비좋고 맛있어요👍🏻,괜히 피자맛집이 아니군요^^이름처럼 피자예술인곳~~토핑도 가득인데 가격 까지 착해유밥하기 싫을땐피자먹자구욧ㅎㅎ배달의 민족도 됩니다배달고고♡,정말 좋은 시간 함께했습니다깔끔한 음식 친절한 직원들 넓은지상주차장 식사 후 숼수있는 공간과 큰 공원등등 참 좋았습니다주인장께서 일체의 화학 조미료를 사용하지 않는다는 말씀이 더욱 감사했습니다
